region_id,page_id,pdf_page,start_char,end_char_exclusive,region_type,detection_method,reviewed,x0,y0,x1,y1,row_count,col_count,token_count,text_sha256,text_preview
XR_000033,P_0191,191,24,942,TABLE,pymupdf_layout,true,70.86,99.893,535.03,479.591,0,0,142,be186a3af2c82d19e892442d6683ea987a39bf9a992b6979f6a47e0b463d1c4e,Table 4.11 Comparison of infected erythrocytes in thin blood films P. falciparum P. malariae P. vivax P. ovale Size of young trophozoite in comparison with diam
XR_000034,P_0192,192,59,411,TABLE,pymupdf_layout_caption_fallback,true,56.71,99.89,455.138,180.71,0,0,53,c6e346915125ae7b43a5c4e97e56c1388bc58092f2a78c97267d39f1a9e87e0e,Table 4.12 Identification of Plasmodium spp. infective to humans in blood films P. falciparum P. malariae (Stage frequently found) (Stage frequently found) Cyto
XR_000035,P_0193,193,24,1483,TABLE,pymupdf_layout,true,70.86,99.888,453.423,689.109,0,0,219,680ca5fb53e9f429abb66d933d5c5abd8f875d08a4683578421ae8675c97f069,"Table 4.12 (cont.) P. vivax P. ovalea (Stage frequently found) Cytoplasm: regular, dense Cytoplasm: blue, irregular, quite blue ring thick ring Chromatin: one m"
XR_000036,P_0214,214,1889,2123,TABLE,pymupdf_layout,true,184.359,612.679,411.074,771.31,0,0,34,57a35d3753f5938a6a55d2f65f477a562a0cd4855e2ab51d8d0f76a9cbdc843d,Table 5.1 Organisms stained by Ziehl– Neelsen stain Sample Organism Sputum M. tuberculosis M. bovis Skin M. leprae M. ulcerans Urine M. tuberculosis M. bovis St
XR_000037,P_0215,215,24,267,TABLE,pymupdf_layout,true,70.859,99.888,409.683,192.347,0,0,42,b8c0911e69d87f1b44d529cef6a2d08f17e0fecd336e948269f5609fe8bc3a7a,Table 5.2 Reporting the number of acid-fast bacilli present Number of acid-fast bacilli present per Result microscope field < 0.1 (< 10 per 100 fields) Specify 
XR_000038,P_0236,236,59,326,TABLE,pymupdf_layout,true,184.358,99.891,411.117,244.907,0,0,63,d86eb8ba1f5129772331f22a6bc1afc65df5fa52a4d88a4d7d2ed342a873f7a5,Table 5.3 Reporting the results of the examination for Mycobacterium leprae Number of bacilli per microscope field Result None (< 1 per 100 fields) 0 0.01–0.1 (
XR_000039,P_0249,249,32,272,TABLE,pymupdf_layout,true,70.86,99.888,297.609,232.037,0,0,37,1e26122236eca42272117c073ed147897eed273f1149e64503278922bc038877,Table 7.1 Reporting the results of the Benedict method for detection of reducing substances in urine Colour Result Blue Negative Green Borderline Green with yel
XR_000040,P_0252,252,59,222,TABLE,pymupdf_layout,true,184.36,99.888,411.106,206.357,0,0,29,f37a4707e896f8009fcbed1382e21fe9463b63ccd675d324086cdda59917a291,Table 7.2 Reporting the results of the test for detection of ketone bodies in urine Colour change Result None Negative Pink ring + Red ring ++ Purple ring +++
XR_000041,P_0254,254,1228,1459,TABLE,pymupdf_layout_numbered_fallback,true,184.3,660.92,524.136,742.487,0,0,32,fc231be29c0a6a783c26a8789b34c6ff92803cd0b000534b97b142a970ad3722,Table 7.3 Reporting the results of microscopic examination of urine for erythrocytes Number of erythrocytes per microscope field Result 0–10 few erythrocytes (n
XR_000042,P_0255,255,32,357,TABLE,pymupdf_layout_numbered_fallback,true,70.86,101.118,410.938,208.457,0,0,47,bd8ca6adcdb83f6604023e2269a35d22d7ccb0306fbc55dac60c1bb09ec2ee5c,Table 7.4 Reporting the results of microscopic examination of urine for leukocytes Number of leukocytes per microscope field Result 0–10 few leukocytes (normal)
XR_000043,P_0268,268,59,591,TABLE,pymupdf_layout,true,184.06,99.768,410.341,416.29,0,0,55,a16968bd828dff74c0c046d178fda6499c41e3090ae5dc001453f9c863705f4a,"Table 8.1 Common causes of meningitis Type of infection Specific organism Bacterial Neisseria meningitidis Streptococcus spp., especially S. pneumoniae Staphylo"
